Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 12 4 0.3973 0.7496 0.9006 0.6675 
2022 9 12 5 0.3962 0.7493 0.9005 0.6676 
2022 9 12 6 0.3951 0.7491 0.9005 0.6676 
2022 9 12 7 0.3940 0.7488 0.9005 0.6676 
2022 9 12 8 0.3929 0.7485 0.9004 0.6677 
2022 9 12 9 0.3918 0.7483 0.9004 0.6677 
2022 9 12 10 0.3907 0.7480 0.9004 0.6677 
2022 9 12 11 0.3896 0.7477 0.9003 0.6678 
2022 9 12 12 0.3885 0.7475 0.9003 0.6678 
2022 9 12 13 0.3873 0.7472 0.9002 0.6679 
2022 9 12 14 0.3862 0.7469 0.9002 0.6679 
2022 9 12 15 0.3852 0.7467 0.9002 0.6679 
2022 9 12 16 0.3841 0.7464 0.9001 0.6680 
2022 9 12 17 0.3830 0.7461 0.9001 0.6680 
2022 9 12 18 0.3819 0.7459 0.9001 0.6681 
2022 9 12 19 0.3809 0.7456 0.9000 0.6681 
2022 9 12 20 0.3801 0.7454 0.9000 0.6682 
2022 9 12 21 0.3795 0.7452 0.9000 0.6683 
2022 9 12 22 0.3791 0.7450 0.9001 0.6684 
2022 9 12 23 0.3787 0.7448 0.9001 0.6686 
2022 9 13 0 0.3783 0.7446 0.9001 0.6687 
2022 9 13 1 0.3780 0.7444 0.9001 0.6688 
2022 9 13 2 0.3775 0.7442 0.9002 0.6690 
2022 9 13 3 0.3771 0.7440 0.9002 0.6691 
2022 9 13 4 0.3766 0.7438 0.9002 0.6692 
2022 9 13 5 0.3761 0.7436 0.9002 0.6693 
2022 9 13 6 0.3756 0.7434 0.9002 0.6694 
2022 9 13 7 0.3751 0.7432 0.9002 0.6696 
2022 9 13 8 0.3746 0.7430 0.9003 0.6697 
2022 9 13 9 0.3742 0.7428 0.9003 0.6698 
2022 9 13 10 0.3737 0.7426 0.9003 0.6699 
2022 9 13 11 0.3732 0.7424 0.9003 0.6700 
2022 9 13 12 0.3727 0.7422 0.9003 0.6702 
2022 9 13 13 0.3722 0.7420 0.9003 0.6703 
2022 9 13 14 0.3717 0.7418 0.9003 0.6704 
2022 9 13 15 0.3711 0.7416 0.9003 0.6705 
2022 9 13 16 0.3706 0.7414 0.9004 0.6706 
2022 9 13 17 0.3700 0.7412 0.9004 0.6707 
2022 9 13 18 0.3694 0.7410 0.9004 0.6708 
2022 9 13 19 0.3688 0.7407 0.9004 0.6709 
2022 9 13 20 0.3682 0.7405 0.9004 0.6710 
2022 9 13 21 0.3676 0.7403 0.9004 0.6711 
2022 9 13 22 0.3669 0.7401 0.9004 0.6712 
2022 9 13 23 0.3663 0.7399 0.9004 0.6713 
2022 9 14 0 0.3656 0.7397 0.9004 0.6714 
2022 9 14 1 0.3649 0.7394 0.9004 0.6715 
2022 9 14 2 0.3643 0.7392 0.9004 0.6716 
2022 9 14 3 0.3636 0.7390 0.9004 0.6717 
2022 9 14 4 0.3629 0.7388 0.9004 0.6718 
2022 9 14 5 0.3622 0.7385 0.9004 0.6718 
2022 9 14 6 0.3614 0.7383 0.9004 0.6719 
2022 9 14 7 0.3607 0.7381 0.9004 0.6720 
2022 9 14 8 0.3600 0.7379 0.9003 0.6721 
2022 9 14 9 0.3592 0.7376 0.9003 0.6722 
2022 9 14 10 0.3585 0.7374 0.9003 0.6723 
2022 9 14 11 0.3577 0.7372 0.9003 0.6724 
2022 9 14 12 0.3570 0.7369 0.9003 0.6724 
2022 9 14 13 0.3562 0.7367 0.9003 0.6725 
2022 9 14 14 0.3555 0.7365 0.9003 0.6726 
2022 9 14 15 0.3547 0.7362 0.9003 0.6727 
2022 9 14 16 0.3539 0.7360 0.9003 0.6728 
2022 9 14 17 0.3532 0.7358 0.9003 0.6728 
2022 9 14 18 0.3524 0.7355 0.9003 0.6729 
2022 9 14 19 0.3516 0.7353 0.9003 0.6730 
2022 9 14 20 0.3508 0.7351 0.9002 0.6731 
2022 9 14 21 0.3500 0.7348 0.9002 0.6731 
2022 9 14 22 0.3492 0.7346 0.9002 0.6732 
