CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 12 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 12 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 13 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 14 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 2 3.2000 0.04608000 3.2000 0.0000 
